smiles1,smiles2,target1,target2
COC1C=CC=C(C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(CC(C)CC(OC)C(O)C(C)C=C(C)C1OC(N)=O)C2=O,NNc1nncc2ccccc12,P07900,Q16665
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,NC(N)=NCC1COC2(CCCCC2)O1,P04035,P23975
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12)c1csc(N)n1,P04035,P0AD68
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,P04035,P54284
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,Nc1nc2ccc(OC(F)(F)F)cc2s1,P04035,Q9UPY5
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,NCCc1ccc(O)c(O)c1,P04035,P00441
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21,P04035,Q9Y5Y4
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,CNCC(O)c1ccc(O)c(O)c1,P04035,P07550
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,CC(c1cc2ccccc2s1)N(O)C(N)=O,P04035,P09917
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,P04035,P08172
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,NC(N)=NC(=O)Cc1c(Cl)cccc1Cl,P04035,P18089
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,NCC(CC(=O)O)c1ccc(Cl)cc1,P04035,Q9UBS5
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,OCCN1CC(O)C(O)C(O)C1CO,P04035,O43451
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,P04035,P20839
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,P04035,P03366
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,NC1CC1c1ccccc1,P04035,P27338
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,CC(C)NCC(O)c1ccc(O)c(O)c1,P04035,P00441
COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,CCC(C(N)=O)N1CCCC1=O,P04035,P46098
