Original Folder Name,New Folder Name
C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,2
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,3
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,4
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,5
C#CCN(C)Cc1ccccc1,6
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,7
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,8
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,9
C1CNCCN1,10
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)CC(O)CC1O,11
C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21,12
C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,13
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,14
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2Cl)c1,15
C=CC(C)=CC1(C)SC(=O)C(C)=C1O,16
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,17
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,18
C=CCNC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O,19
C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,20
CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,21
CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21,22
CC(=CCCC1=CCC(C2=CC(=O)OC2O)OC1O)CCC1=C(C)CCCC1(C)C,23
CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1,24
