idx,SMILES,target_id1,target_id2,geos
1,C[C@H](Oc1cc(C(=O)N(C)C)ccc1Nc1nc(O[C@H]2CC[C@](C)(O)CC2)c2c(Cl)c[nH]c2n1)C(F)(F)F,P53779_WT,P49841_WT,"['1.85', '-0.58', '-0.86', '-0.75', '-0.07', '-0.69', '0.39', '0.16', '1.42']"
2,NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCCC3=O)cc2)ncc1Cl,P53779_WT,P49841_WT,"['-0.48', '0.45', '0.16', '3.14', '-3.06', '3.01']"
3,NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)c(F)c2)ncc1Cl,P53779_WT,P49841_WT,"['-0.46', '0.42', '0.10', '2.94', '0.31', '-0.57']"
4,NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl,P53779_WT,P49841_WT,"['0.41', '-0.58', '-0.22', '2.90', '-2.90', '-0.41']"
5,COc1cc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)ccc1N1CCOCC1,P53779_WT,P49841_WT,"['1.52', '3.11', '0.19', '3.11', '-0.51', '0.32', '2.17']"
6,C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)cc2)c1,P53779_WT,P49841_WT,"['-2.35', '3.00', '-2.72', '-0.54', '-2.86', '-0.53', '-0.14', '1.05', '1.86', '-0.77', '0.04']"
7,NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2F)ncc1Cl,P53779_WT,P49841_WT,"['0.69', '0.27', '-1.02', '0.10', '0.14', '-0.49']"
8,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)ccc1N1CCOCC1,P53779_WT,P49841_WT,"['0.23', '-0.07', '-3.05', '0.49', '-0.37', '-1.40']"
9,COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cc1,P53779_WT,P49841_WT,"['2.31', '2.64', '-2.57', '1.87', '0.50', '0.72']"
10,CN(C)CC=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3nccc(-c4c(-c5ccccc5)nn5ccccc45)n3)cc2)c1,P53779_WT,P49841_WT,"['-1.10', '-1.56', '-0.10', '-2.15', '-3.14', '3.14', '-0.27', '-2.90', '-0.28', '-0.64', '-2.17', '-1.16', '-0.83']"
11,Cc1ccc(C(=O)Nc2ccc(Nc3nccc(-c4cccnc4)n3)cc2)cc1NC(=O)C=CCN(C)C,P53779_WT,P49841_WT,"['-0.63', '3.14', '-3.14', '2.92', '0.09', '-0.55', '0.39', '0.13', '0.52', '-1.54', '2.61', '-3.14']"
12,Cc1ccc(NC(=O)C=CCN(C)C)cc1C(=O)Nc1ccc(Nc2nccc(-c3cccnc3)n2)cc1,P53779_WT,P49841_WT,"['3.14', '0.30', '-1.08', '0.63', '0.98', '1.13', '2.03', '2.88', '-2.79', '-2.96', '-0.24', '2.32']"
13,C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4[nH]c(SC)nc4-c4ccc(F)cc4)ccn3)cc2)c1,P53779_WT,P49841_WT,"['-2.50', '2.26', '-2.49', '0.36', '3.14', '-3.14', '0.22', '-1.04', '1.08', '2.92', '0.79']"
14,CN(C)CC=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3nccc(-c4cccnc4)n3)cc2)c1,P53779_WT,P49841_WT,"['1.81', '2.57', '0.07', '2.66', '3.04', '-2.55', '-0.56', '2.96', '2.93', '-0.35', '0.26', '-0.26']"
15,N#Cc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cc1,P53779_WT,P49841_WT,"['0.29', '-3.14', '-3.14', '-2.26', '-0.29', '-0.70']"
16,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2C(N)=O)n1,P53779_WT,P49841_WT,"['-0.05', '-0.47', '0.35', '2.67', '-1.93', '-0.35', '-0.77']"
17,C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3nccc(-c4cccnc4)n3)cc2)c1,P53779_WT,P49841_WT,"['-2.64', '-3.01', '3.14', '-0.65', '3.14', '0.27', '3.14', '2.69', '2.82']"
18,Cc1cc(NC(=O)c2cccc(NC(=O)C=CCN(C)C)c2)ccc1Nc1nccc(-c2cccnc2)n1,P53779_WT,P49841_WT,"['-0.17', '0.21', '-2.81', '-2.43', '-0.94', '-0.59', '0.48', '2.78', '1.20', '-0.13', '0.17', '-2.51']"
19,Oc1onc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)c2)c1-c1ccc(F)cc1,P53779_WT,P49841_WT,"['-2.80', '-2.16', '-0.18', '0.68', '0.88']"
20,O=C(NC1CC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,P53779_WT,P49841_WT,"['-0.14', '-0.08', '-2.94', '3.02', '-0.42', '-0.43']"
21,CN1CC[C@H](NC(=O)c2cc(-n3ncc4cc(Nc5ccccc5Cl)ccc43)cs2)C1,P53779_WT,P49841_WT,"['2.36', '-0.62', '2.53', '-3.14', '0.25', '0.50']"
22,NC(=O)c1ccccc1Nc1nc(Nc2ccc(F)cc2)ncc1Cl,P53779_WT,P49841_WT,"['-0.60', '-0.11', '0.79', '-0.16', '0.20']"
23,O=C(NC1CCNCC1)c1cccc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,P53779_WT,P49841_WT,"['-0.79', '-0.90', '2.74', '-2.46', '-0.33', '-0.53']"
24,CCCn1c(C2CCNCC2)nc(-c2ccc(Cl)c(Cl)c2)c1-c1ccnc(NC2CCCCC2)n1,P53779_WT,P49841_WT,"['1.43', '1.28', '1.89', '-2.31', '1.26', '-0.08', '-2.35']"
25,CCCn1c(C2CCN(C)CC2)nc(-c2ccc(Cl)c(Cl)c2)c1-c1ccnc(NC2CC2)n1,P53779_WT,P49841_WT,"['-1.47', '-1.44', '2.17', '0.93', '1.08', '3.05', '-3.14']"
